path,frame,backend,kinema_err_mm,kinema_jump_deg,kinema_violation_deg,kinema_numpy_err_mm,kinema_numpy_jump_deg,kinema_numpy_violation_deg,blender_limited_err_mm,blender_limited_jump_deg,blender_limited_violation_deg,blender_unlimited_err_mm,blender_unlimited_jump_deg,blender_unlimited_violation_deg
through_singularity_y,0,PyRoki,0.00019824705564454304,0.0,0.0,0.002294778823852539,0.0,0.0,0.0004723926628871965,0.0,0.0,0.0004723926628871965,0.0,0.0
through_singularity_y,1,PyRoki,4.214684851089403e-05,0.8615224958649733,0.0,0.001700822481319937,0.8614883449191232,0.0,0.0004300734308261219,0.8615190807703883,0.0,0.0004300734308261219,0.8615190807703883,0.0
through_singularity_y,2,PyRoki,0.00014905817079352256,0.8722100343687508,0.0,0.0014998862598829827,0.8722014966322883,0.0,0.0003281640342704242,0.8721997890849956,0.0,0.0003281640342704242,0.8721997890849956,0.0
through_singularity_y,3,PyRoki,2.9802322387695312e-05,0.8826329030421901,0.0,0.0013273120984253965,0.8826192426638502,0.0,0.00020914776396182476,0.8826192426638502,0.0,0.00020914776396182476,0.8826192426638502,0.0
through_singularity_y,4,PyRoki,0.00019082797281243946,0.8927432905611016,0.0,0.0013814147986310813,0.8927484132029792,0.0,0.00018431718463976653,0.892744998108394,0.0,0.00018431718463976653,0.892744998108394,0.0
through_singularity_y,5,PyRoki,6.36577885249073e-05,0.9025651025875799,0.0,0.0012649541233740482,0.9025480271146549,0.0,0.00020553341841896954,0.9025599799457025,0.0,0.00020553341841896954,0.9025599799457025,0.0
through_singularity_y,6,PyRoki,0.00014919776018337003,0.9120146693042926,0.0,0.0011682215770223016,0.9120129617570001,0.0,0.00020267770452403193,0.9120163768515851,0.0,0.00020267770452403193,0.9120163768515851,0.0
through_singularity_y,7,PyRoki,9.996002811937584e-05,0.9211158963733348,0.0,0.001217890783649835,0.9211005284477023,0.0,0.00017441362009524742,0.9211056510895795,0.0,0.00017441362009524742,0.9211056510895795,0.0
through_singularity_y,8,PyRoki,0.00011638178938488147,0.9297936517138358,0.0,0.0013269774784097617,0.9297953592611283,0.0,0.00013348812510944095,0.9298021894502984,0.0,0.00013348812510944095,0.9298021894502984,0.0
through_singularity_y,9,PyRoki,7.920075813483186e-05,0.9380769636297688,0.0,0.0014805486617534423,0.9380701334405988,0.0,0.00015787497237635471,0.9380752560824762,0.0,0.00015787497237635471,0.9380752560824762,0.0
